event_date_input,event_date_trading,pre_days,post_days,vol_col,pre_mean,post_mean,delta_mean,pct_change_mean,pre_median,post_median,delta_median,event_type,label
2024-01-11,2024-01-11,20,20,vol_ewma_l0.94,0.10829037196233096,0.10742479983962894,-0.0008655721227020241,-0.007993066299588621,0.1072140573408778,0.10472762618802689,-0.0024864311528509098,CPI,US CPI Jan 2024
2024-01-31,2024-01-31,20,20,vol_ewma_l0.94,0.10225356746317686,0.1204270999480354,0.018173532484858534,0.17773005808724585,0.1016022815552967,0.11999357254810565,0.01839129099280895,FOMC,FOMC Jan 2024
2024-03-12,2024-03-12,20,20,vol_ewma_l0.94,0.12040309213579223,0.10578937168307909,-0.014613720452713141,-0.12137329858797638,0.11960123826843624,0.10560371278986375,-0.013997525478572498,CPI,US CPI Mar 2024
2024-03-20,2024-03-20,20,20,vol_ewma_l0.94,0.119158943308131,0.10712118991960966,-0.012037753388521338,-0.10102265977126976,0.11854724215668615,0.10560371278986375,-0.012943529366822401,FOMC,FOMC Mar 2024
2024-06-12,2024-06-12,20,20,vol_ewma_l0.94,0.10663084249890149,0.0846544811031342,-0.021976361395767294,-0.20609760629054105,0.10573222279088054,0.08377419433755075,-0.021958028453329795,CPI,US CPI Jun 2024
2024-06-12,2024-06-12,20,20,vol_ewma_l0.94,0.10663084249890149,0.0846544811031342,-0.021976361395767294,-0.20609760629054105,0.10573222279088054,0.08377419433755075,-0.021958028453329795,FOMC,FOMC Jun 2024
2024-09-11,2024-09-11,20,20,vol_ewma_l0.94,0.17311953258430682,0.13931226752621,-0.03380726505809681,-0.1952827884492649,0.17011698928423044,0.1374996324832051,-0.03261735680102534,CPI,US CPI Sep 2024
2024-09-18,2024-09-18,20,20,vol_ewma_l0.94,0.16508032058641253,0.13072055458798887,-0.034359765998423664,-0.20813968543535621,0.1653088996817468,0.12604569417431435,-0.03926320550743245,FOMC,FOMC Sep 2024
