Date,Open,High,Low,Close,Adj Close,Volume
2015-12-21,201.41000366210938,201.8800048828125,200.08999633789062,201.6699981689453,171.4281463623047,99094300
2015-12-22,202.72000122070312,203.85000610351562,201.5500030517578,203.5,172.9837188720703,111026200
2015-12-23,204.69000244140625,206.07000732421875,204.5800018310547,206.02000427246094,175.1258087158203,110987200
2015-12-24,205.72000122070312,206.3300018310547,205.4199981689453,205.67999267578125,174.83680725097656,48539600
2015-12-28,204.86000061035156,205.25999450683594,203.94000244140625,205.2100067138672,174.43724060058594,65899900
2015-12-29,206.50999450683594,207.7899932861328,206.47000122070312,207.39999389648438,176.29884338378906,92640700
2015-12-30,207.11000061035156,207.2100067138672,205.75999450683594,205.92999267578125,175.0492706298828,63317700
2015-12-31,205.1300048828125,205.88999938964844,203.8699951171875,203.8699951171875,173.2982177734375,114877900
2016-01-04,200.49000549316406,201.02999877929688,198.58999633789062,201.02000427246094,170.8756103515625,222353500
2016-01-05,201.39999389648438,201.89999389648438,200.0500030517578,201.36000061035156,171.16464233398438,110845800
2016-01-06,198.33999633789062,200.05999755859375,197.60000610351562,198.82000732421875,169.00546264648438,152112600
2016-01-07,195.3300018310547,197.44000244140625,193.58999633789062,194.0500030517578,164.95082092285156,213436100
2016-01-08,195.19000244140625,195.85000610351562,191.5800018310547,191.9199981689453,163.14019775390625,209817200
2016-01-11,193.00999450683594,193.41000366210938,189.82000732421875,192.11000061035156,163.3017578125,187941300
2016-01-12,193.82000732421875,194.5500030517578,191.13999938964844,193.66000366210938,164.61929321289062,172330500
2016-01-13,194.4499969482422,194.86000061035156,188.3800048828125,188.8300018310547,160.5136260986328,221168900
2016-01-14,189.5500030517578,193.25999450683594,187.66000366210938,191.92999267578125,163.14874267578125,240795600
2016-01-15,186.77000427246094,188.75999450683594,185.52000427246094,187.80999755859375,159.6465301513672,324846400
2016-01-19,189.9600067138672,190.11000061035156,186.1999969482422,188.05999755859375,159.85906982421875,195244400
2016-01-20,185.02999877929688,187.5,181.02000427246094,185.64999389648438,157.81044006347656,286547800
2016-01-21,186.2100067138672,188.8699951171875,184.63999938964844,186.69000244140625,158.69451904296875,195772900
2016-01-22,189.77999877929688,190.75999450683594,188.8800048828125,190.52000427246094,161.95016479492188,168319600
2016-01-25,189.9199981689453,190.14999389648438,187.41000366210938,187.63999938964844,159.5020294189453,130371700
2016-01-26,188.4199981689453,190.52999877929688,188.02000427246094,190.1999969482422,161.6781463623047,141036800
2016-01-27,189.5800018310547,191.55999755859375,187.05999755859375,188.1300048828125,159.9185791015625,185681700
